Data wystawienia;Kontrahent;Przychód;Rozchód
31.12.2018;WTB INSTALACJE - Pawe³ Knysz;0;7
20.12.2018;Szko³a Podstawowa Nr 73;0;2
20.12.2018;ABM alarm Jan Kalin;0;1
20.12.2018;ADMI Sp. z o.o.;0;1
20.12.2018;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;10
18.12.2018;RTC Œwieradowska Sp. z o.o.;0;2
14.12.2018;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
12.12.2018;Cargilll Poland Sp. z o.o. Oddzia³ w Bielanach Wr;0;8
07.12.2018;DEVCO Sp. z o.o.;0;1
07.12.2018;Wspólnota Mieszkaniowa przy ul. Antoniego Wiwulski;0;1
07.12.2018;"Wspólnota Mieszkaniowa ""¯wirki i Wigury""";0;1
07.12.2018;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
29.11.2018;Zespó³ Szkó³ Nr 18;0;3
29.11.2018;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
29.11.2018;WSPÓLNOTA MIESZKANIOWA UL.RYBACKA  38-40 W O£AWIE;0;2
27.11.2018;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
27.11.2018;Wspólnota Mieszkaniowa ul. Krzycka 83,83a,83b,83c,;0;1
16.11.2018;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
15.11.2018;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;3
15.11.2018;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
14.11.2018;Szko³a Podstawowa Nr 51;0;5
07.11.2018;Zespó³ Elekrociep³owni Wroc³awskich KOGENERACJA S.;0;30
07.11.2018;Wspólnota Lokalowo-Mieszkaniowa Rynek 60 Wroc³aw;0;1
31.10.2018;"Wspólnota Mieszkaniowa ""Zielona Przystañ""";0;1
31.10.2018;Wspólnota Mieszkaniowa przy ul. Zatorskiej 106-126;0;2
31.10.2018;Wspólnota Mieszkaniowa ul.Zatorska 92-104;0;2
31.10.2018;Wspólnota Mieszkaniowa „ Mosiê¿na 3-21”;0;16
31.10.2018;Wspólnota Mieszkaniowa „ JUTRZENKI 19-19A-19B”;0;2
30.10.2018;WSPÓLNOTA MIESZKANIOWA „DO¯YNKOWA 15-19”;0;1
30.10.2018;Wspólnota Mieszkaniowa „ KOWARZYKA 9-17 „;0;4
29.10.2018;ATRIUM DOMINIKAÑSKA Sp. z o.o.;0;6
29.10.2018;"Wspólnota Mieszkaniowa ""Partynicka 36-50""";0;1
25.10.2018;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
25.10.2018;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
16.10.2018;Szko³a Podstawowa nr 1 im. Miko³aja Kopernika;0;3
16.10.2018;EKOPOLMAL Jolanta Koleœniczenko;0;1
09.10.2018;Match Point M.W.Matyja Sp. j.;0;2
05.10.2018;AUTO-SAM Witold Warulik;0;1
03.10.2018;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
03.10.2018;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
03.10.2018;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
26.09.2018;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
26.09.2018;First PFM Sp. z o.o.;0;1
22.09.2018;WM UL. RYBNICKA 18-18N WE WROC£AWIU;0;2
20.09.2018;D+H Polska Sp. z o.o.;0;5
20.09.2018;DS Smith Polska sp. z o.o.;0;1
20.09.2018;Apleona HSG Sp. z o.o.;0;4
