Data wystawienia;Kontrahent;Przych�d;Rozch�d
06.09.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;3
06.09.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
30.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
30.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
30.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
30.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
30.08.2019;INTONA sp z o.o. SPӣKA;0;1
29.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
29.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;12
28.08.2019;BOXMET;50;0
20.08.2019;BOXMET;40;0
19.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
19.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
19.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;13
14.08.2019;TRAKCJA PRKiI S.A.;0;1
09.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
09.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;18
07.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;3
07.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;14
07.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;11
07.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;3
07.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;7
05.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;8
05.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
02.08.2019;BOXMET;30;0
02.08.2019;BOXMET;21;0
24.07.2019;Aircom Automotive sp. z o.o. sp. k.;0;6
22.07.2019;BOXMET;50;0
16.07.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
12.07.2019;KACZMARSKI INKASSO Ma�gorzata Kaczmarski;0;1
12.07.2019;Superhobby Market Budowlany Sp. zoo;0;1
19.06.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
14.06.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
11.06.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
04.06.2019;Silesia Business Park A sp. z .o.o. ;0;13
04.06.2019;Silesia Business Park A sp. z .o.o. ;0;13
04.06.2019;Silesia Business Park A sp. z .o.o. ;0;50
04.06.2019;Silesia Business Park A sp. z .o.o. ;0;18
31.05.2019;Zesp� Szk� Nr 3 we Wroc�awiu;0;2
31.05.2019;Zinel Facility Management Sp. z o.o.;0;1
30.05.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
30.05.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;16
30.05.2019;Port Lotniczy Wroc�aw S.A.;0;1
30.05.2019;Port Lotniczy Wroc�aw S.A.;0;1
28.05.2019;;20;0
28.05.2019;WASTER SPӣKA Z OGRANICZON� ODPOWIEDZIALNO�CI�;0;1
20.05.2019;BOXMET;13;0
17.05.2019;Superhobby Market Budowlany Sp. zoo;0;1
17.05.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;13
17.05.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;4
17.05.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
17.05.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
10.05.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;19
09.05.2019;SCHAVEMAKER INVEST Sp.z o.o.;0;1
08.05.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
08.05.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
08.05.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
08.05.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
08.05.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
08.05.2019;WOMAK HOLDING S.A.;0;1
06.05.2019;IPF SERVICE Sp. z o.o.;0;12
30.04.2019;Linde Gaz Polska Sp. z o.o. ;0;1
